"len1" "len2" "safety"
12.94 3.62 "x"
4.41 8.56 "x"
13.54 16.63 "o"
6.53 3.62 "x"
10.25 3.02 "x"
4.75 13.25 "x"
7.98 3.66 "x"
10.87 4.47 "x"
2.28 11.62 "x"
15.15 16.65 "o"
2.66 14.11 "x"
16.87 13.99 "o"
6.32 10.94 "x"
5.9 10.64 "x"
12.26 1.27 "x"
8.9 3.33 "x"
11.11 13.27 "o"
11.06 2.33 "x"
6.99 15.45 "x"
16.62 16.67 "o"
9.6 3.91 "x"
11.74 3.33 "x"
18.84 16.5 "o"
2.03 8.98 "x"
15.21 14.97 "o"
2.66 8.1 "x"
3.6 11.5 "x"
1.23 10.67 "x"
14.39 13.58 "o"
13.88 12.54 "o"
7.11 14.42 "x"
13.16 11.24 "o"
14.45 14.39 "o"
10.93 1.19 "x"
8 2.66 "x"
10.93 1.91 "x"
9.11 4.31 "x"
10.69 4.01 "x"
3.78 11.26 "x"
12.15 13.39 "o"
7.58 2.71 "x"
3.6 11.73 "x"
7.5 2.97 "x"
13.3 12.8 "o"
4.02 12.52 "x"
3.59 12.18 "x"
9.55 1.93 "x"
15.55 12.07 "o"
10.08 1.7 "x"
12.1 9.86 "o"
2.11 7.93 "x"
14.9 17.23 "o"
3.51 11.18 "x"
8.28 1.59 "x"
10.23 2.7 "x"
4.23 9.27 "x"
10.77 4.62 "x"
16.5 14.32 "o"
4.25 8.16 "x"
13.88 11.71 "o"
9.3 4.2 "x"
8.67 3.48 "x"
5.13 9.82 "x"
15.73 15.06 "o"
12.17 13.49 "o"
4.72 12.13 "x"
11.3 2.63 "x"
10.18 2.06 "x"
10.45 11.46 "o"
9.06 2.58 "x"
11.51 14.53 "o"
10.4 1.19 "x"
3.17 10.87 "x"
11.41 2.75 "x"
15.51 17.25 "o"
5.22 10.88 "x"
12.88 2.58 "x"
4.01 9.67 "x"
15.85 16.9 "o"
14.64 14.53 "o"
13.12 12.88 "o"
11.66 10.9 "o"
15.57 12.67 "o"
3.09 9.82 "x"
4.96 10.81 "x"
2.53 12.64 "x"
9.38 3.4 "x"
3.4 10.05 "x"
10.95 2.5 "x"
12.55 4.88 "x"
16.35 15.72 "o"
2.76 12.21 "x"
5.2 10.61 "x"
11.57 1.64 "x"
12.14 10.71 "o"
2.18 14.68 "x"
