"weight" "shc" "ref" "label"
69.613 129.07 52.111 TRUE
70.67 128.161 52.446 TRUE
72.303 128.45 52.853 TRUE
73.759 127.522 51.786 TRUE
74.085 129.067 53.352 TRUE
74.561 134.031 50.992 TRUE
74.911 134.944 50.744 TRUE
75.205 129.162 52.8 TRUE
75.395 129.711 52.844 TRUE
75.554 132.642 51.427 TRUE
75.768 129.197 52.889 TRUE
75.952 132.47 50.911 TRUE
75.967 133.728 51.12 TRUE
76.099 129.064 52.816 TRUE
76.682 128.997 52.873 TRUE
76.911 127.382 51.565 FALSE
76.97 129.852 51.915 TRUE
77.018 133.704 52.314 TRUE
77.019 133.473 49.721 TRUE
77.099 133.054 50.467 TRUE
77.197 132.207 49.899 TRUE
77.468 129.459 54.391 FALSE
77.643 129.903 52.482 TRUE
77.69 129.392 52.556 TRUE
77.708 129.656 53.15 TRUE
77.856 131.374 53.714 TRUE
77.869 130.163 52.629 TRUE
78.213 129.002 52.317 TRUE
78.253 130.941 53.161 TRUE
78.293 134.205 51.814 TRUE
78.32 129.532 53.43 TRUE
78.475 133.403 50.961 TRUE
78.551 130.436 53.698 TRUE
78.631 129.042 52.699 TRUE
78.676 131.111 52.887 TRUE
78.852 129.98 52.419 TRUE
79.014 129.745 52.807 TRUE
79.22 129.447 53.256 TRUE
79.489 132.855 49.702 TRUE
79.58 133.064 51.251 TRUE
79.813 133.473 51.478 TRUE
79.869 130.581 52.947 TRUE
79.925 134.18 50.823 TRUE
80.171 130.207 52.652 TRUE
80.227 131.149 52.311 TRUE
80.307 134.467 51.245 TRUE
80.473 129.343 52.461 TRUE
80.525 134.435 51.083 TRUE
80.53 134.094 51.576 TRUE
80.556 134.785 50.502 TRUE
80.715 133.517 51.044 TRUE
80.725 129.764 52.577 TRUE
80.797 129.924 53.835 TRUE
80.866 130.324 53.287 TRUE
80.928 134.996 50.98 TRUE
80.953 133.532 50.797 TRUE
80.963 130.601 52.701 TRUE
81.045 129.631 52.507 TRUE
81.102 128.639 52.739 TRUE
81.237 129.76 53.419 TRUE
81.267 131.651 53.44 TRUE
81.348 130.074 53.408 TRUE
81.403 132.993 49.588 TRUE
81.475 129.449 52.345 TRUE
81.699 129.332 52.376 TRUE
81.701 134.273 51.165 TRUE
81.9 130.044 52.689 TRUE
81.908 131.236 53.64 TRUE
81.932 129.558 52.862 TRUE
81.975 135.268 50.798 TRUE
82.016 130.484 52.733 TRUE
82.029 130.408 53.343 TRUE
82.065 132.823 52.329 TRUE
82.173 129.472 52.796 TRUE
82.322 134.01 50.775 TRUE
82.479 129.161 52.753 TRUE
82.583 130.883 54.363 TRUE
82.721 130.41 53.036 TRUE
83.023 130.359 51.739 TRUE
83.046 130.478 52.782 TRUE
83.087 134.123 50.844 TRUE
83.167 130.775 52.985 TRUE
83.372 133.594 50.56 TRUE
83.432 130.874 53.903 TRUE
83.57 130.994 53.408 TRUE
84.128 130.554 53.247 TRUE
84.406 129.347 50.527 FALSE
84.491 130.682 54.178 TRUE
85.041 130.009 54.102 TRUE
85.22 130.239 53.204 TRUE
85.291 131.542 54.305 FALSE
85.639 130.069 53.854 TRUE
85.846 135.761 51.198 TRUE
85.847 135.88 51.605 TRUE
85.946 131.57 53.754 TRUE
86.519 131.226 53.99 TRUE
86.632 134.467 50.856 TRUE
87.459 130.651 53.682 TRUE
88.15 134.094 51.032 FALSE
89.907 131.723 52.932 TRUE
